layer,feature,golden_label,autogen_label,semantic_similarity,golden_word_count,autogen_word_count,word_count_ratio,length_score
0,13654,rest,"""Nouns and adjectives that are contextually significant, often referring to specific concepts, objects, or conditions.""",-0.0038572289049625397,1,15,15.0,0.06666666666666667
0,8681,sport,"""Commonly used words and punctuation marks that serve as connectors or modifiers in sentences, such as \""and,\"" \""which,\"" \""(\"", \"")\"", and \""sport,\"" often emphasize specific aspects or provide additional context.""",0.32912301063537597,1,30,30.0,0.03333333333333333
0,1847,crystallization,"""Technical and domain-specific terms, often nouns or compound nouns, that are relevant to the context of the text, such as in legal, technical, or specialized documents.""",-0.00662595871835947,1,26,26.0,0.038461538461538464
0,9166,players,"""Common nouns and verbs related to specific domains such as sports, games, and entertainment, often used in contexts describing activities, objects, or roles within these domains.""",0.061432760953903195,1,26,26.0,0.038461538461538464
0,2149,appointment,"""Common verbs and nouns that indicate actions, objects, or processes, often used in context to describe changes, movements, or additions.""",-0.01233237013220787,1,20,20.0,0.05
0,5215,code,"""Proper nouns, technical terms, and specific words that carry significant meaning or context within the text. These often include names, places, scientific terms, and specialized jargon.""",0.03710770556703211,1,26,26.0,0.038461538461538464
0,12894,improvement,"""Common verbs and prepositions used to describe actions or transitions, often in the context of improvement, transformation, or integration.""",0.3113415116071701,1,19,19.0,0.05263157894736842
0,13553,quoted speech,"""Common verbs and possessive markers ('s) used to describe actions, states, or attributes in various contexts.""",0.04434266835451126,2,16,8.0,0.125
0,7439,names,"""Proper nouns, including names and places, and specific terms or concepts that are significant in the context of the text.""",0.42442606012026474,1,20,20.0,0.05
0,5340,LaTeX markup,"""Key terms and concepts related to specific topics or fields, such as \""Christ,\"" \""analysis,\"" \""survival,\"" \""representation,\"" and \""democracy,\"" are emphasized. These terms often carry significant meaning within their respective contexts.""",0.039763149619102475,2,30,15.0,0.06666666666666667
0,14993,thoughts,"""Key terms and concepts related to programs, membership, and time, often used in contexts of technology, education, and organizational processes.""",-0.00785323977470398,1,20,20.0,0.05
0,10322,action verbs,"""Verbs and nouns that describe actions or states, often in the context of processes, communications, or descriptions of objects and concepts.""",0.510244096517563,2,21,10.5,0.09523809523809523
0,16262,sport,"""Common words and suffixes that are contextually significant, often indicating a specific domain or concept, such as \""sport,\"" \""families,\"" \""difficult,\"" and \""ve\"" (contraction of \""have\"").""",0.3290427500009537,1,25,25.0,0.04
0,15722,tracks,"""The word \""just\"" is frequently used to emphasize simplicity or immediacy of an action, and \""track\"" is used in contexts related to following or tracing something.""",0.1023374855518341,1,26,26.0,0.038461538461538464
0,10932,code related concepts,"""The text contains repeated words and phrases, particularly \""guarantee,\"" \""thread,\"" \""click,\"" \""office,\"" and \""women,\"" often used in contexts related to assurance, connectivity, interaction, workplace, and gender, respectively.""",0.2270544720358319,3,27,9.0,0.1111111111111111
0,15365,game,"""The words \""game,\"" \""play,\"" \""player,\"" and their variations are frequently used in contexts related to sports, competitions, and activities, often emphasizing the role or action within these contexts.""",0.3460518443584442,1,28,28.0,0.03571428571428571
0,11835,code,"""The text contains a variety of important tokens that often represent specific entities, actions, or concepts. These tokens are frequently part of technical, descriptive, or idiomatic phrases. They include proper nouns, technical terms, and words that convey specific actions or states. The tokens often appear in contexts that require precise or specialized language, such as legal, scientific, or technical writing.""",0.08700030833482743,1,60,60.0,0.016666666666666666
0,6560,into,"""Common prepositions and adverbs used to indicate transitions or transformations, often followed by a noun or verb.""",0.040129803121089935,1,17,17.0,0.058823529411764705
0,2115,%\],"""The text contains a variety of nouns, verbs, and adjectives that are often part of specific contexts or domains, such as technical, legal, or everyday language. These tokens are often part of compound terms, proper nouns, or technical jargon, and they frequently appear in sequences that convey specific meanings or actions.""",-0.001447128877043724,1,51,51.0,0.0196078431372549
